Date,1thFFundDiff,2thFFundDiff,3thFFundDiff,4thFFundDiff,5thFFundDiff,6thFFundDiff,7thFFundDiff
20210611,8149071626,-16649837346,-7821698380,-6174764978,-14822988757,18303178018,10663066297
20210615,-16649837346,-7821698380,-6174764978,-14822988757,18303178018,10663066297,14285546665
20210616,-7821698380,-6174764978,-14822988757,18303178018,10663066297,14285546665,-18181796580
20210617,-6174764978,-14822988757,18303178018,10663066297,14285546665,-18181796580,-6714953398
20210618,-14822988757,18303178018,10663066297,14285546665,-18181796580,-6714953398,-15813932136
20210621,18303178018,10663066297,14285546665,-18181796580,-6714953398,-15813932136,-33278628535
20210622,10663066297,14285546665,-18181796580,-6714953398,-15813932136,-33278628535,-10788215856
20210623,14285546665,-18181796580,-6714953398,-15813932136,-33278628535,-10788215856,10955989945
20210624,-18181796580,-6714953398,-15813932136,-33278628535,-10788215856,10955989945,4000769429
20210625,-6714953398,-15813932136,-33278628535,-10788215856,10955989945,4000769429,8796583711
20210628,-15813932136,-33278628535,-10788215856,10955989945,4000769429,8796583711,5375005044
20210629,-33278628535,-10788215856,10955989945,4000769429,8796583711,5375005044,-14334288786
20210630,-10788215856,10955989945,4000769429,8796583711,5375005044,-14334288786,20437547423
20210701,10955989945,4000769429,8796583711,5375005044,-14334288786,20437547423,-17967550398
20210702,4000769429,8796583711,5375005044,-14334288786,20437547423,-17967550398,-19989559906
20210705,8796583711,5375005044,-14334288786,20437547423,-17967550398,-19989559906,11528688446
20210706,5375005044,-14334288786,20437547423,-17967550398,-19989559906,11528688446,119632366
20210707,-14334288786,20437547423,-17967550398,-19989559906,11528688446,119632366,-11685968917
20210708,20437547423,-17967550398,-19989559906,11528688446,119632366,-11685968917,-3814097184
20210709,-17967550398,-19989559906,11528688446,119632366,-11685968917,-3814097184,-41143943543
20210712,-19989559906,11528688446,119632366,-11685968917,-3814097184,-41143943543,15466781595
20210713,11528688446,119632366,-11685968917,-3814097184,-41143943543,15466781595,23164457975
20210714,119632366,-11685968917,-3814097184,-41143943543,15466781595,23164457975,15311732728
20210715,-11685968917,-3814097184,-41143943543,15466781595,23164457975,15311732728,16434357982
20210716,-3814097184,-41143943543,15466781595,23164457975,15311732728,16434357982,-22544083711
20210719,-41143943543,15466781595,23164457975,15311732728,16434357982,-22544083711,-42404794526
20210720,15466781595,23164457975,15311732728,16434357982,-22544083711,-42404794526,-25642686597
20210721,23164457975,15311732728,16434357982,-22544083711,-42404794526,-25642686597,-16226528699
20210722,15311732728,16434357982,-22544083711,-42404794526,-25642686597,-16226528699,35668210979
20210723,16434357982,-22544083711,-42404794526,-25642686597,-16226528699,35668210979,2298243014
20210726,-22544083711,-42404794526,-25642686597,-16226528699,35668210979,2298243014,-18354903539
20210727,-42404794526,-25642686597,-16226528699,35668210979,2298243014,-18354903539,-3600711740
20210728,-25642686597,-16226528699,35668210979,2298243014,-18354903539,-3600711740,-22015014415
20210729,-16226528699,35668210979,2298243014,-18354903539,-3600711740,-22015014415,19137651716
20210730,35668210979,2298243014,-18354903539,-3600711740,-22015014415,19137651716,-17659102876
20210802,2298243014,-18354903539,-3600711740,-22015014415,19137651716,-17659102876,23968208757
20210803,-18354903539,-3600711740,-22015014415,19137651716,-17659102876,23968208757,939099728
